Country,Life Expectancy,GDP Per Capita,CO2 Emissions Per Capita,Label
Afghanistan,64.49,524.16,0.26,0
Albania,78.93,5284.38,1.61,0
Algeria,76.79,4153.86,3.73,0
Andorra,82.9,39896.36,5.83,1
Angola,61.15,3432.39,1.06,0
Argentina,76.97,11683.95,4.66,0
Armenia,75.09,4435.45,1.96,0
Australia,82.8,57307.29,15.12,1
Austria,81.84,52229.68,8.62,1
Azerbaijan,73.05,4103.74,3.49,0
Bahrain,77.29,23439.53,23.56,0
Bangladesh,73.15,1290.58,0.51,0
Belarus,73.14,6155.61,6.61,0
Belgium,81.53,49028.06,8.29,1
Belize,73.51,4974.62,2.15,0
Benin,61.34,814.03,0.48,0
Bhutan,71.84,2961.36,2.65,0
Bolivia,71.51,3427.12,1.71,0
Bosnia and Herzegovina,77.49,5442.87,5.01,0
Botswana,68.82,7923.94,2.18,0
Brazil,75.88,9147.37,2.34,0
Brunei,76.76,73163.29,20.96,1
Bulgaria,75.38,8160.94,5.79,0
Burkina Faso,61.56,625.96,0.21,0
Burundi,61.46,307.95,0.05,0
Cambodia,69.82,1316.02,0.83,0
Cameroon,59.49,1452.69,0.39,0
Canada,81.94,46203.42,15.34,1
Cape Verde,73.72,3651.83,1.38,0
Central African Republic,53.28,399.68,0.13,0
Chad,53.98,732.23,0.07,0
Chile,80.18,15746.51,4.81,0
China,76.92,10216.07,7.54,0
Colombia,76.14,6472.62,1.74,0
Comoros,61.29,1132.25,0.29,0
Costa Rica,80.87,12590.96,2.86,0
Croatia,78.18,14818.24,4.71,0
Cuba,78.8,8538.62,3.97,0
Cyprus,80.98,39482.86,6.65,1
Czech Republic,79.12,23052.59,10.59,0
Denmark,81.07,60249.11,5.97,1
Djibouti,66.14,1795.41,0.93,0
Dominica,76.78,9667.41,2.49,0
Dominican Republic,74.96,8302.18,2.37,0
Ecuador,76.67,6139.02,2.35,0
Egypt,71.92,3115.72,2.72,0
El Salvador,74.8,4321.68,2.01,0
Equatorial Guinea,59.15,7703.95,4.16,0
Eritrea,66.32,406.79,0.16,0
Estonia,79.71,22622.77,14.16,0
Eswatini,60.75,3993.66,2.32,0
Ethiopia,66.6,893.11,0.26,0
Fiji,67.95,5285.48,1.81,0
Finland,81.62,50152.33,8.23,1
France,82.49,44935.32,4.91,1
Gabon,66.18,9452.06,4.42,0
Gambia,62.53,834.55,0.34,0
Georgia,74.84,4394.38,2.54,0
Germany,81.17,48618.18,8.92,1
Ghana,65.15,2206.29,0.59,0
Greece,82.18,20009.26,6.88,0
Grenada,74.67,11788.47,4.15,0
Guatemala,73.4,4542.66,1.47,0
Guinea,61.65,981.75,0.19,0
Guinea-Bissau,58.68,678.79,0.23,0
Guyana,69.29,4536.4,3.47,0
Haiti,64.5,780.99,0.23,0
Honduras,75.63,2599.72,0.96,0
Hungary,76.25,16797.72,5.9,0
Iceland,83.07,68643.84,5.64,1
India,69.42,2019.36,1.85,0
Indonesia,72.67,4092.89,2.29,0
Iraq,69.26,4925.44,4.73,0
Ireland,82.31,87556.79,7.79,1
Israel,82.81,43688.72,10.02,1
Italy,83.08,39627.74,5.86,1
Jamaica,74.87,4747.77,3.89,0
Japan,84.6,40849.68,9.97,1
Jordan,74.73,4426.46,2.64,0
Kazakhstan,73.6,9994.56,15.45,0
Kenya,66.56,1734.49,0.34,0
Kiribati,67.99,2030.86,0.38,0
Kuwait,75.47,64792.59,25.65,1
Kyrgyzstan,71.44,1477.05,1.36,0
Lao People's Democratic Republic,67.66,2476.72,0.68,0
Latvia,75.91,16814.36,4.41,0
Lebanon,78.65,11946.2,4.26,0
Lesotho,53.91,1271.41,0.78,0
Liberia,64.11,660.58,0.22,0
Libya,71.37,5263.99,5.03,0
Liechtenstein,82.63,190637.97,4.37,2
Lithuania,75.54,17837.26,5.89,0
Luxembourg,82.03,115134.84,17.36,1
Madagascar,67.55,486.39,0.23,0
Malawi,63.32,390.55,0.15,0
Malaysia,76.96,12261.03,8.58,0
Maldives,80.08,11645.65,2.37,0
Mali,61.1,840.7,0.12,0
Malta,82.12,47117.03,4.78,1
Marshall Islands,73.35,3919.96,3.92,0
Mauritania,64.97,3075.12,1.29,0
Mauritius,74.7,11623.46,3.62,0
Mexico,74.69,9446.4,3.91,0
Moldova,73.36,2490.64,2.16,0
Monaco,86.16,185051.97,3.17,2
Mongolia,70.43,4674.7,5.57,0
Montenegro,77.05,9969.12,3.25,0
Morocco,75.42,3342.86,1.73,0
Mozambique,59.79,502.41,0.32,0
Myanmar,67.29,1380.54,0.64,0
Namibia,65.79,5057.42,4.47,0
Nauru,72.77,11750.12,7.25,0
Nepal,70.78,1025.01,0.26,0
Netherlands,82.78,55698.62,9.84,1
New Zealand,82.47,43064.68,7.33,1
Nicaragua,74.39,2165.03,0.79,0
Niger,62.27,362.25,0.11,0
Nigeria,54.05,2140.73,0.53,0
North Macedonia,75.75,6281.79,4.1,0
Norway,82.99,81872.37,8.34,1
Oman,78.08,17062.26,16.78,0
Pakistan,67.67,1361.61,0.98,0
Palau,73.68,16638.73,9.08,0
Panama,78.34,18676.77,3.89,0
Papua New Guinea,63.78,2792.24,0.46,0
Paraguay,74.23,4534.79,1.45,0
Peru,76.27,6602.47,1.92,0
Philippines,71.23,3590.85,1.77,0
Poland,77.53,15717.73,8.81,0
Portugal,81.95,26821.68,6.77,0
Qatar,80.92,96467.56,41.92,1
Romania,75.77,12457.13,4.94,0
Russia,72.58,11287.7,10.03,0
Rwanda,69.05,793.12,0.11,0
Saint Kitts and Nevis,76.94,29748.64,5.52,0
Saint Lucia,76.54,11335.25,2.75,0
Saint Vincent and the Grenadines,72.53,7663.38,2.21,0
Samoa,73.15,4319.8,1.59,0
San Marino,84.97,62577.41,4.86,1
Sao Tome and Principe,70.37,2155.68,0.58,0
Saudi Arabia,75.34,24844.38,17.57,0
Senegal,67.98,1250.08,0.57,0
Serbia,75.76,7417.55,4.78,0
Seychelles,74.77,29074.47,8.1,0
Sierra Leone,54.73,493.78,0.18,0
Singapore,85.27,85269.76,8.72,1
Slovakia,77.08,19708.26,5.58,0
Slovenia,81.14,30510.98,7.16,0
Solomon Islands,73.14,2229.22,0.71,0
Somalia,57.7,226.73,0.05,0
South Africa,63.7,7577.96,6.65,0
South Sudan,58.56,412.84,0.37,0
Spain,83.37,38926.63,5.6,1
Sri Lanka,77.02,4198.77,0.92,0
Sudan,65.12,1369.06,0.22,0
Suriname,70.71,7008.49,3.64,0
Sweden,82.46,53612.55,4.75,1
Switzerland,83.57,81993.94,4.81,1
Syrian Arab Republic,74.13,2302.13,1.89,0
Tajikistan,71.5,968.61,0.74,0
Tanzania,66.37,1122.07,0.2,0
Thailand,76.92,7506.96,3.28,0
Timor-Leste,69.16,1658.94,0.47,0
Togo,61.04,671.91,0.37,0
Tonga,70.71,4423.1,1.68,0
Trinidad and Tobago,73.61,17336.49,39.74,0
Tunisia,76.47,4269.11,2.48,0
Turkey,77.6,10898.41,4.45,0
Turkmenistan,70.2,7506.63,12.47,0
Tuvalu,66.92,4186.14,1.21,0
Uganda,63.35,721.37,0.12,0
Ukraine,71.55,3763.24,5.06,0
United Arab Emirates,77.97,70413.12,22.18,1
United Kingdom,81.32,42330.26,5.75,1
United States of America,79.14,63051.4,15.74,1
Uruguay,77.99,16994.95,1.81,0
Uzbekistan,72.34,1929.94,2.52,0
Vanuatu,70.57,3274.65,0.71,0
Venezuela,71.91,2449.34,5.33,0
Vietnam,75.47,2795.81,2.67,0
Yemen,66.42,1159.08,0.94,0
Zambia,63.89,1298.85,0.29,0
Zimbabwe,61.49,1094.88,0.79,0